,,,,,CPX,,,,OC,,,,,,CL,,,,,,GS,,,,,,OCG,,,,,,,
instance,k/|V|,weight,|V|,|E|,T,EG,#N,GI,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C(OC),#C(CL),#C(GS),ST
59,20%,unit,200,961,0.2,NA,1,100.0,0.1,NA,1,100.0,69,<0.1,0.2,NA,1,100.0,40,0,0.2,NA,1,100.0,0,0,0.1,NA,1,100.0,69,40,0,0
61,20%,unit,200,931,0.2,NA,1,100.0,0.1,NA,1,100.0,71,0,0.1,NA,1,100.0,34,0,0.2,NA,1,100.0,69,0,0.1,NA,1,100.0,71,34,69,0
63,20%,unit,200,1011,0.2,NA,1,100.0,0.2,NA,1,100.0,59,0,0.1,NA,1,100.0,36,0,0.2,NA,1,100.0,59,0,0.2,NA,1,100.0,60,36,59,<0.1
65,20%,unit,200,1011,0.1,NA,1,100.0,0.1,NA,1,100.0,61,0,0.1,NA,1,100.0,37,0,0.1,NA,1,100.0,14,0,0.1,NA,1,100.0,61,37,14,0
67,20%,unit,200,1174,0.2,NA,1,100.0,0.2,NA,1,100.0,64,0,0.1,NA,1,100.0,39,0,0.2,NA,1,100.0,0,0,0.2,NA,1,100.0,64,39,0,<0.1
69,20%,unit,200,1083,0.5,NA,1,100.0,0.2,NA,1,100.0,141,0,0.3,NA,1,100.0,64,0,0.8,NA,1,100.0,205,<0.1,0.2,NA,1,100.0,137,66,74,<0.1
71,20%,unit,200,952,0.3,NA,1,100.0,0.2,NA,1,100.0,165,0,0.2,NA,1,100.0,46,0,0.4,NA,1,100.0,64,0,0.2,NA,1,100.0,169,31,64,<0.1
73,20%,unit,200,1078,0.1,NA,1,100.0,0.1,NA,1,100.0,71,<0.1,0.2,NA,1,100.0,38,0,0.1,NA,1,100.0,147,0,0.1,NA,1,100.0,82,38,66,<0.1
75,20%,unit,26300,41500,9.2,NA,1,100.0,9.2,NA,1,100.0,79,0,13.4,NA,1,100.0,79,<0.1,9.1,NA,1,100.0,0,0,13.4,NA,1,100.0,79,79,0,<0.1
77,20%,unit,200,961,0.2,NA,1,100.0,0.1,NA,1,100.0,69,0,0.2,NA,1,100.0,40,0,0.2,NA,1,100.0,0,0,0.1,NA,1,100.0,69,40,0,0
79,20%,unit,26300,41500,9.8,NA,1,100.0,9.7,NA,1,100.0,74,0,14.0,NA,1,100.0,74,<0.1,9.5,NA,1,100.0,0,0,14.6,NA,1,100.0,74,74,0,0.1
81,20%,unit,199,1091,0.1,NA,1,100.0,0.1,NA,1,100.0,87,<0.1,0.1,NA,1,100.0,39,0,0.1,NA,1,100.0,70,0,0.1,NA,1,100.0,87,39,70,<0.1
83,20%,unit,200,1172,0.9,NA,6,88.2,0.6,NA,1,100.0,296,0.1,0.6,NA,1,100.0,69,0,1.4,NA,9,89.0,144,<0.1,0.6,NA,1,100.0,292,48,76,<0.1
85,20%,unit,11470,17408,0.9,NA,1,100.0,0.9,NA,1,100.0,0,0,1.6,NA,1,100.0,0,0,0.9,NA,1,100.0,0,0,1.6,NA,1,100.0,0,0,0,0
87,20%,unit,13590,21240,2.9,NA,1,100.0,2.9,NA,1,100.0,30,<0.1,3.9,NA,1,100.0,30,<0.1,2.8,NA,1,100.0,0,0,3.9,NA,1,100.0,30,30,0,<0.1
89,20%,unit,57316,77978,3448.6,0.1,17501,48.6,3455.4,0.2,13801,52.5,23737,7.4,3465.0,0.1,14397,52.8,2438,0.3,3503.1,0.1,17971,48.6,0,3.9,3511.1,0.1,11801,53.2,23278,1037,0,12.0
91,20%,unit,200,1163,0.6,NA,1,100.0,0.2,NA,1,100.0,180,<0.1,0.2,NA,1,100.0,80,0,0.6,NA,1,100.0,0,0,0.2,NA,1,100.0,147,75,0,<0.1
93,20%,unit,200,1162,0.2,NA,1,100.0,0.1,NA,1,100.0,73,0,0.1,NA,1,100.0,23,0,0.2,NA,1,100.0,51,0,0.1,NA,1,100.0,52,23,51,0
95,20%,unit,15783,24663,5.7,NA,1,100.0,5.9,NA,1,100.0,41,0,7.4,NA,1,100.0,41,0.1,5.5,NA,1,100.0,0,0,7.3,NA,1,100.0,41,41,0,0.1
97,20%,unit,18096,28281,5.0,NA,1,100.0,5.2,NA,1,100.0,38,0,6.9,NA,1,100.0,38,<0.1,5.1,NA,1,100.0,0,0,7.0,NA,1,100.0,38,38,0,<0.1
99,20%,unit,26300,41500,10.6,NA,1,100.0,10.7,NA,1,100.0,75,0,14.4,NA,1,100.0,75,<0.1,10.5,NA,1,100.0,0,<0.1,14.3,NA,1,100.0,75,75,0,0.1
101,20%,unit,26300,41500,10.5,NA,1,100.0,11.4,NA,1,100.0,75,0,15.1,NA,1,100.0,75,<0.1,11.8,NA,1,100.0,0,0,15.0,NA,1,100.0,75,75,0,<0.1
103,20%,unit,15783,24663,3.9,NA,1,100.0,3.9,NA,1,100.0,36,0,5.8,NA,1,100.0,36,0.1,3.7,NA,1,100.0,0,0,5.5,NA,1,100.0,36,36,0,<0.1
105,20%,unit,26300,41500,10.7,NA,1,100.0,11.2,NA,1,100.0,75,<0.1,16.0,NA,1,100.0,75,0.1,10.8,NA,1,100.0,0,<0.1,15.2,NA,1,100.0,75,75,0,<0.1
107,20%,unit,13590,21240,3.1,NA,1,100.0,3.1,NA,1,100.0,31,0,4.2,NA,1,100.0,31,<0.1,3.1,NA,1,100.0,0,0,4.1,NA,1,100.0,31,31,0,<0.1
109,20%,unit,66992,90970,3505.7,0.2,11501,46.7,3559.3,0.2,6235,55.9,24000,8.6,3484.9,0.2,5701,54.3,3814,0.5,3485.9,0.2,11101,46.7,0,6.8,3531.8,0.2,5077,60.0,24000,3785,0,16.0
111,20%,unit,450,17831,3510.5,2.3,11745,67.6,3554.3,1.6,3436,75.7,10591,<0.1,3524.7,6.7,1,80.6,75852,2.3,3479.2,2.2,12198,69.6,3109,1.1,3547.0,6.5,1,84.4,10591,73100,363,2.3
113,20%,unit,26300,41500,12.0,NA,1,100.0,12.0,NA,1,100.0,64,<0.1,16.4,NA,1,100.0,64,<0.1,12.2,NA,1,100.0,0,0,16.8,NA,1,100.0,64,62,0,<0.1
115,20%,unit,18096,28281,5.7,NA,1,100.0,5.7,NA,1,100.0,38,0,8.1,NA,1,100.0,38,0.1,5.6,NA,1,100.0,0,0,7.9,NA,1,100.0,38,38,0,<0.1
117,20%,unit,18096,28281,5.2,NA,1,100.0,5.3,NA,1,100.0,44,0,7.4,NA,1,100.0,44,<0.1,5.3,NA,1,100.0,0,0,7.7,NA,1,100.0,44,44,0,<0.1
119,20%,unit,18096,28281,5.0,NA,1,100.0,5.2,NA,1,100.0,35,0,7.3,NA,1,100.0,35,<0.1,5.1,NA,1,100.0,0,0,7.3,NA,1,100.0,35,35,0,<0.1
121,20%,unit,18096,28281,5.6,NA,1,100.0,5.9,NA,1,100.0,40,<0.1,8.0,NA,1,100.0,40,0.1,5.5,NA,1,100.0,0,0,8.0,NA,1,100.0,40,40,0,<0.1
123,20%,unit,26300,41500,11.6,NA,1,100.0,11.6,NA,1,100.0,80,0,15.9,NA,1,100.0,80,<0.1,11.2,NA,1,100.0,0,0,16.4,NA,1,100.0,80,78,0,<0.1
125,20%,unit,26300,41500,12.3,NA,1,100.0,13.3,NA,1,100.0,79,<0.1,16.5,NA,1,100.0,79,<0.1,12.5,NA,1,100.0,0,<0.1,16.9,NA,1,100.0,79,77,0,<0.1
127,20%,unit,18096,28281,6.7,NA,1,100.0,7.3,NA,1,100.0,51,<0.1,8.9,NA,1,100.0,51,<0.1,6.7,NA,1,100.0,0,<0.1,9.1,NA,1,100.0,51,49,0,<0.1
129,20%,unit,15783,24663,4.3,NA,1,100.0,4.8,NA,1,100.0,32,0,5.6,NA,1,100.0,32,<0.1,4.0,NA,1,100.0,0,0,6.2,NA,1,100.0,32,32,0,<0.1
131,20%,unit,2980,5360,0.6,NA,1,100.0,0.6,NA,1,100.0,1,0,0.6,NA,1,100.0,1,0,0.6,NA,1,100.0,0,0,0.7,NA,1,100.0,1,1,0,0
133,20%,unit,15783,24663,4.0,NA,1,100.0,4.0,NA,1,100.0,33,0,5.3,NA,1,100.0,33,<0.1,4.0,NA,1,100.0,0,0,5.6,NA,1,100.0,33,33,0,<0.1
