,,,,,CPX,,,,OC,,,,,,CL,,,,,,GS,,,,,,OCG,,,,,,,
instance,k/|V|,weight,|V|,|E|,T,EG,#N,GI,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C,ST,T,EG,#N,GI,#C(OC),#C(CL),#C(GS),ST
9,50%,unit,38452,174645,3518.5,1.2,19113,0,3478.2,1.2,21716,0,12000,0.1,292.4,NA,1,100.0,3057,0.3,3518.6,1.2,18901,0,0,<0.1,394.3,NA,1,100.0,12000,2887,0,0.5
11,50%,unit,9877,25973,3384.6,<0.1,382533,0,3428.2,0.1,353551,0,8281,1.7,9.2,NA,1,100.0,925,<0.1,3484.6,<0.1,384321,0,0,2.0,14.3,NA,1,100.0,6695,443,0,1.4
13,50%,unit,45307,36697,7.2,NA,1,100.0,7.2,NA,1,100.0,0,0,10.1,NA,1,100.0,0,0,7.1,NA,1,100.0,0,0,10.5,NA,1,100.0,0,0,0,0
15,50%,unit,53610,42940,8.7,NA,1,100.0,8.8,NA,1,100.0,0,0,12.7,NA,1,100.0,0,0,8.6,NA,1,100.0,0,0,12.8,NA,1,100.0,0,0,0,0
17,50%,unit,23541,34233,33.1,NA,1,100.0,34.7,NA,1,100.0,4669,0.2,61.1,NA,1,100.0,539,0.1,57.0,NA,1,100.0,0,0,36.3,NA,1,100.0,4672,350,0,0.2
19,50%,unit,200,862,184.8,NA,20135,74.4,13.9,NA,652,89.6,1545,0.6,109.0,NA,14602,79.2,151,<0.1,93.7,NA,9981,80.6,309,0.3,14.4,NA,661,89.6,1316,106,198,0.6
21,50%,unit,24765,19655,2.1,NA,1,100.0,2.2,NA,1,100.0,0,0,3.2,NA,1,100.0,0,0,2.2,NA,1,100.0,0,0,3.3,NA,1,100.0,0,0,0,0
23,50%,unit,27717,133665,3527.9,1.6,19982,0,3417.1,1.6,20925,0,12000,0.1,113.0,NA,1,100.0,2374,0.2,3525.3,1.6,19982,0,0,<0.1,254.7,NA,181,100.0,12000,2219,0,0.5
25,50%,unit,23194,18295,1.9,NA,1,100.0,1.8,NA,1,100.0,0,0,2.7,NA,1,100.0,0,0,1.8,NA,1,100.0,0,0,2.6,NA,1,100.0,0,0,0,0
27,50%,unit,65866,52435,12.9,NA,1,100.0,13.1,NA,1,100.0,0,0,20.9,NA,1,100.0,0,0,12.8,NA,1,100.0,0,0,21.6,NA,1,100.0,0,0,0,0
29,50%,unit,13431,16234,8.9,NA,1,100.0,8.5,NA,1,100.0,1888,0.1,9.2,NA,1,100.0,260,<0.1,9.3,NA,1,100.0,0,1.0,8.4,NA,1,100.0,1907,251,0,1.1
31,50%,unit,200,813,1004.7,NA,95478,85.1,154.6,NA,10627,91.4,1715,0.7,160.0,NA,16419,87.6,276,<0.1,3428.0,NA,352463,81.7,981,1.3,38.9,NA,1603,92.1,2115,147,384,1.1
33,50%,unit,4410,6885,21.3,NA,337,100.0,21.1,NA,304,100.0,2995,5.9,21.0,NA,445,100.0,382,0,23.0,NA,337,100.0,0,1.7,70.0,NA,568,100.0,21184,182,0,19.4
35,50%,unit,200,864,3444.1,0.6,384959,69.3,350.7,NA,21205,85.4,2430,0.8,2801.4,NA,430935,74.4,195,0.5,3496.9,0.7,357287,70.7,758,1.2,334.1,NA,19913,85.4,2849,122,199,1.2
37,50%,unit,198,808,687.3,NA,73988,72.1,48.8,NA,2511,87.8,1973,0.6,418.3,NA,54173,78.8,145,0.1,1441.2,NA,181636,69.4,197,0.3,29.7,NA,1663,88.5,2367,89,209,1.0
39,50%,unit,6795,10620,149.8,NA,3522,100.0,196.5,NA,2149,100.0,6974,24.1,385.1,NA,7290,100.0,464,<0.1,152.2,NA,3522,100.0,0,4.2,236.2,NA,2350,100.0,9550,195,0,40.4
41,50%,unit,200,1023,3517.3,1.2,201501,71.2,2824.9,NA,201894,84.9,2485,1.2,3528.2,0.9,396801,78.0,290,0.8,3530.0,1.2,237873,69.8,612,1.0,1984.5,NA,85666,85.4,2697,155,388,1.7
43,50%,unit,200,841,3496.4,0.2,281291,84.0,381.0,NA,23208,90.0,1969,0.7,1534.1,NA,178497,85.9,289,0.2,3427.1,0.4,259101,83.0,1163,1.1,386.0,NA,23114,90.3,2146,146,366,1.0
45,50%,unit,200,1020,3496.3,0.7,207764,71.2,482.7,NA,19616,85.5,2203,0.8,3483.6,0.3,284486,76.1,287,0.3,3466.0,0.7,202486,70.9,780,1.0,343.2,NA,14133,85.1,2263,146,200,0.9
47,50%,unit,200,1093,3359.0,1.2,169801,68.3,673.9,NA,26965,87.2,2363,0.7,3310.5,NA,274890,79.0,296,0.3,3485.1,0.8,197701,73.1,397,0.5,324.6,NA,12762,87.5,2701,145,379,1.2
49,50%,unit,200,933,3498.6,0.6,272650,71.2,182.3,NA,9907,87.2,2178,0.9,2482.9,NA,332388,75.1,194,0.3,3481.4,0.6,242111,70.9,576,0.8,188.4,NA,8930,86.9,2203,137,383,1.1
51,50%,unit,200,1098,3505.8,0.8,186401,73.4,397.6,NA,15385,88.2,2727,1.1,2665.0,NA,273945,79.4,344,0.2,3453.6,0.7,176935,73.5,1219,1.2,296.9,NA,11089,88.0,2660,160,384,1.2
53,50%,unit,200,1026,3456.1,1.2,176901,71.1,1004.0,NA,39737,86.3,2323,0.8,3505.2,0.4,249318,78.2,279,0.3,3500.7,0.9,211701,73.6,502,0.8,533.0,NA,21056,86.6,2686,149,382,1.4
55,50%,unit,200,938,3488.2,0.5,391718,69.5,205.9,NA,12701,85.1,1593,0.6,1989.6,NA,259219,74.9,225,0.3,2403.9,NA,272679,71.7,208,0.3,197.9,NA,11767,84.6,1724,144,367,0.8
57,50%,unit,200,1160,3504.6,1.6,145001,71.7,2579.0,NA,87685,85.9,3004,1.1,3508.4,0.7,176058,77.3,385,0.3,3479.1,1.3,151101,71.8,200,0.4,3199.2,NA,125547,86.0,2874,161,384,1.5
59,50%,unit,200,961,3522.0,0.3,444563,72.6,252.3,NA,20195,85.6,1769,0.5,1922.7,NA,265908,78.4,254,0.3,3508.0,0.5,301071,70.8,199,0.5,385.3,NA,20749,86.0,2084,149,199,1.1
61,50%,unit,200,931,3511.7,0.4,285965,73.1,269.9,NA,13659,84.2,1983,0.8,3376.2,NA,484968,74.8,206,0.6,3488.7,0.5,299757,72.6,199,0.4,223.1,NA,9969,84.8,2366,137,210,1.1
63,50%,unit,200,1011,3494.8,1.0,207901,71.0,836.3,NA,26623,86.4,2501,0.8,3473.0,0.6,283024,79.6,284,0.4,3520.6,1.0,194149,71.7,200,0.4,785.6,NA,38549,86.8,2722,144,386,1.3
65,50%,unit,200,1011,3476.1,0.7,177535,74.1,267.3,NA,17932,88.2,2058,0.8,1667.2,NA,127625,82.0,258,0.1,3504.7,0.7,223422,73.5,620,0.8,230.3,NA,11452,89.8,2915,145,392,1.4
67,50%,unit,200,1174,3507.2,1.3,128200,71.9,502.1,NA,15960,89.4,3177,1.2,2918.1,NA,194160,81.3,365,0.2,3480.4,0.9,144601,75.5,1579,1.2,175.2,NA,5997,90.2,3244,165,390,1.8
69,50%,unit,200,1083,3484.9,0.9,190701,71.4,743.6,NA,28135,86.3,2554,0.9,3426.4,0.4,275221,80.2,375,0.4,3499.9,0.8,214401,73.9,198,0.5,2565.7,NA,129073,86.3,2335,150,371,1.7
71,50%,unit,200,952,3541.0,0.3,226210,74.8,127.7,NA,4699,88.6,2338,0.8,927.6,NA,69274,81.2,244,<0.1,1325.5,NA,93068,76.7,397,0.3,107.1,NA,3304,89.3,3066,136,390,1.2
73,50%,unit,200,1078,3451.9,1.1,193201,69.8,2277.2,NA,94555,83.7,2416,1.0,3482.7,0.5,293010,75.6,271,0.3,3481.1,1.3,209601,68.9,979,1.1,3465.0,0.4,143501,83.6,2285,148,215,1.9
75,50%,unit,26300,41500,3515.1,<0.1,21020,99.7,3473.9,<0.1,27410,99.7,16227,48.3,3463.2,<0.1,21972,99.7,914,0.1,3477.8,<0.1,21997,99.7,0,<0.1,3546.7,<0.1,15501,99.7,26016,522,0,98.0
77,50%,unit,200,961,3484.4,0.3,404587,72.6,255.8,NA,20195,85.6,1769,0.6,1971.2,NA,265908,78.4,254,0.3,3552.1,0.5,298928,70.8,199,0.5,389.9,NA,20749,86.0,2084,149,199,1.0
79,50%,unit,26300,41500,3468.9,<0.1,16401,99.7,3456.0,<0.1,24986,99.7,13961,52.9,3472.1,<0.1,23401,99.7,929,0.1,3468.5,<0.1,16439,99.7,0,0.1,3457.5,<0.1,18742,99.7,24864,522,0,103.2
81,50%,unit,199,1091,3517.5,1.3,133101,72.5,3466.8,0.2,149670,85.7,2790,1.5,3550.7,0.9,232601,77.1,299,0.3,3532.1,1.5,131001,70.3,1459,1.3,3510.8,0.1,134833,86.1,3064,149,380,1.7
83,50%,unit,200,1172,3527.8,2.1,124301,69.4,3473.0,0.8,112101,83.6,3239,1.3,3466.8,1.3,153001,74.3,379,0.2,3445.4,2.2,150201,69.5,1374,1.3,3483.3,0.9,117149,83.4,3327,165,395,2.3
85,50%,unit,11470,17408,3534.9,0.1,19089,98.8,3485.6,<0.1,6963,99.8,5478,50.1,3551.2,<0.1,7623,99.8,532,<0.1,3364.4,0.1,19289,98.8,0,<0.1,3518.3,<0.1,5817,99.8,20543,215,0,402.1
87,50%,unit,13590,21240,3552.1,<0.1,26347,100.0,3551.7,<0.1,24501,100.0,9613,47.6,3532.6,<0.1,29077,100.0,551,0.1,3232.3,NA,27370,100.0,0,<0.1,3532.8,<0.1,26501,100.0,23591,363,0,330.3
89,50%,unit,57316,77978,3469.0,0.1,1901,99.2,3557.6,0.1,3701,99.3,13102,52.3,3511.4,0.1,3201,99.3,1466,0.3,3500.4,0.2,2079,99.2,0,0,3471.6,0.1,3149,99.3,25849,636,0,372.7
91,50%,unit,200,1163,3519.6,1.8,140401,73.2,3503.7,0.8,99963,84.3,2682,1.0,3484.2,1.2,230101,78.3,450,0.3,3388.1,1.7,145001,72.5,200,0.4,3471.8,0.5,81201,85.1,3628,182,385,2.1
93,50%,unit,200,1162,3524.1,1.4,171201,70.4,3519.6,0.4,118998,84.5,2101,1.1,3564.5,0.9,217201,75.9,326,0.3,3565.1,1.4,191347,70.7,1283,1.4,3552.6,0.3,164419,85.7,3039,169,200,2.8
95,50%,unit,15783,24663,3552.7,<0.1,13103,99.8,3554.4,<0.1,16601,99.8,9192,50.1,3529.9,<0.1,13223,99.8,691,0,3520.9,<0.1,14824,99.8,0,<0.1,3519.6,<0.1,12254,99.8,23316,406,0,330.0
97,50%,unit,18096,28281,3580.7,<0.1,10691,99.8,3538.4,<0.1,13224,99.8,9015,50.2,3537.2,<0.1,12401,99.8,781,<0.1,3549.8,<0.1,12548,99.8,0,<0.1,3536.0,<0.1,10883,99.8,23615,476,0,249.7
99,50%,unit,26300,41500,3535.1,<0.1,16410,99.7,3579.5,<0.1,16437,99.7,15183,41.6,3528.8,<0.1,20938,99.7,948,0.1,3552.5,<0.1,17616,99.7,0,<0.1,3536.4,<0.1,23476,99.7,26126,522,0,130.2
101,50%,unit,26300,41500,3543.3,<0.1,15201,99.8,3587.3,<0.1,13266,99.8,15140,42.4,3545.2,<0.1,17177,99.8,958,<0.1,3567.2,<0.1,15011,99.8,0,0,3537.4,<0.1,14842,99.8,25277,522,0,100.8
103,50%,unit,15783,24663,3535.0,<0.1,15075,99.9,3546.2,<0.1,15201,99.9,8249,50.2,3564.7,<0.1,13601,99.9,681,0.1,3572.9,<0.1,15258,99.9,0,<0.1,3534.6,<0.1,17426,99.9,24605,389,0,270.6
105,50%,unit,26300,41500,3512.9,<0.1,22707,99.7,3559.7,<0.1,20360,99.7,13082,41.2,3574.2,<0.1,17585,99.7,936,0.1,3535.4,<0.1,26802,99.7,0,0.1,3561.8,<0.1,21653,99.7,26025,522,0,121.8
107,50%,unit,13590,21240,3580.2,<0.1,21603,100.0,1338.4,NA,10669,100.0,12161,39.5,3564.6,<0.1,19230,100.0,570,<0.1,3431.7,<0.1,22401,100.0,0,<0.1,3552.3,<0.1,23466,100.0,23256,367,0,224.9
109,50%,unit,66992,90970,3556.9,0.1,1121,98.4,3532.5,0.1,2301,98.5,13807,60.2,3538.0,0.2,2201,98.5,2064,0.3,3549.8,0.1,1101,98.4,0,0,3581.0,0.2,2114,98.5,27156,666,0,260.6
111,50%,unit,450,17831,3586.8,12.9,2515,44.3,3587.3,14.7,112,46.8,10591,<0.1,3591.3,14.9,1,47.8,22704,0.7,3589.1,16.9,1,35.2,11246,6.9,3585.3,13.6,1,50.6,10591,14276,900,0.7
113,50%,unit,26300,41500,3580.7,<0.1,22101,99.8,3547.8,<0.1,20777,99.8,11701,41.1,3539.8,<0.1,23387,99.8,931,0.2,3511.9,<0.1,25701,99.8,0,0.1,3580.1,<0.1,19905,99.8,25026,522,0,172.0
115,50%,unit,18096,28281,3533.7,<0.1,9501,99.7,3556.2,<0.1,17713,99.7,9682,50.3,3566.2,<0.1,14219,99.7,727,0.1,3540.0,<0.1,9901,99.7,0,0,3577.5,<0.1,12301,99.7,23756,476,0,290.6
117,50%,unit,18096,28281,3525.1,<0.1,13138,99.7,3538.7,<0.1,12893,99.8,10059,50.2,3556.9,<0.1,17212,99.8,720,0.1,3563.5,<0.1,12516,99.7,0,<0.1,3565.1,<0.1,14805,99.8,23726,476,0,344.5
119,50%,unit,18096,28281,3546.2,<0.1,10401,99.9,3573.4,<0.1,14841,99.9,8842,50.2,3515.5,<0.1,16804,99.9,727,0.1,3533.4,<0.1,10470,99.9,0,<0.1,3544.7,<0.1,14176,99.9,23473,476,0,420.6
121,50%,unit,18096,28281,3563.8,<0.1,12205,99.8,3561.8,<0.1,16001,99.8,11195,45.9,3581.8,<0.1,7877,99.8,728,0.1,3556.1,<0.1,11775,99.8,0,<0.1,3526.2,<0.1,11931,99.8,23492,476,0,420.7
123,50%,unit,26300,41500,3515.3,<0.1,19647,99.7,3550.1,<0.1,18509,99.7,11772,42.3,3562.8,<0.1,27537,99.7,924,0.1,3554.1,<0.1,18641,99.7,0,<0.1,3554.6,<0.1,18295,99.7,25147,522,0,111.9
125,50%,unit,26300,41500,3537.3,<0.1,24001,99.6,3466.7,<0.1,19209,99.6,17270,48.0,3539.6,<0.1,21001,99.6,926,0.1,3553.8,<0.1,24801,99.6,0,<0.1,3566.0,<0.1,19201,99.6,25615,522,0,141.4
127,50%,unit,18096,28281,3547.4,<0.1,14623,99.8,3568.0,<0.1,16001,99.8,7277,50.1,3531.6,<0.1,13219,99.8,722,0.1,3574.1,<0.1,11602,99.8,0,<0.1,3581.8,<0.1,13501,99.8,23492,476,0,330.7
129,50%,unit,15783,24663,3545.1,<0.1,15860,99.7,3548.8,<0.1,13055,99.7,10760,49.0,3505.4,<0.1,12791,99.7,657,<0.1,3537.2,<0.1,15918,99.7,0,<0.1,3479.3,<0.1,13201,99.7,20760,407,0,600.9
131,50%,unit,2980,5360,3575.6,0.1,19311,99.5,3585.4,<0.1,29183,100.0,1891,8.4,3554.9,<0.1,27000,100.0,336,0.1,3491.8,0.1,20934,99.5,0,0.7,2785.3,NA,21553,100.0,4654,174,0,26.4
133,50%,unit,15783,24663,3589.7,<0.1,14178,99.8,3522.0,<0.1,14719,99.8,10043,50.2,3540.4,<0.1,16301,99.8,678,0.1,3557.3,<0.1,14620,99.8,0,<0.1,3548.6,<0.1,14944,99.8,23195,402,0,520.8
135,50%,unit,26300,41500,3557.2,<0.1,19993,99.7,3472.6,<0.1,20636,99.7,15809,53.9,3544.3,<0.1,22749,99.7,912,0.1,3525.2,<0.1,18953,99.7,0,<0.1,3546.7,<0.1,15071,99.7,21032,522,0,202.6
137,50%,unit,26300,41500,3565.4,<0.1,20036,99.8,3568.4,<0.1,19969,99.8,12006,42.4,3561.4,<0.1,20731,99.8,935,0.1,3579.6,<0.1,20294,99.8,0,0,3544.1,<0.1,22501,99.8,19842,522,0,171.4
139,50%,unit,18096,28281,3578.3,<0.1,13601,99.8,3559.9,<0.1,12373,99.8,8425,50.3,3559.1,<0.1,14534,99.8,766,0.1,3562.3,<0.1,14010,99.8,0,<0.1,3491.2,<0.1,10838,99.8,24030,476,0,238.5
141,50%,unit,18096,28281,3541.7,<0.1,14657,99.7,3543.8,<0.1,14161,99.8,10450,50.1,3554.5,<0.1,10508,99.8,722,<0.1,3591.2,<0.1,14860,99.7,0,<0.1,3567.6,<0.1,14390,99.8,23590,476,0,295.0
143,50%,unit,18096,28281,3589.6,<0.1,14894,99.7,3550.9,<0.1,16302,99.7,9912,50.2,3558.7,<0.1,16793,99.7,773,<0.1,3550.1,<0.1,15301,99.7,0,<0.1,3552.4,<0.1,13728,99.7,23547,476,0,260.5
145,50%,unit,18096,28281,3560.4,<0.1,11380,99.8,3553.2,<0.1,15366,99.9,10493,50.2,3535.1,<0.1,10808,99.9,732,0.1,3579.6,<0.1,11638,99.8,0,<0.1,3558.2,<0.1,13615,99.9,23718,476,0,218.0
147,50%,unit,18096,28281,3574.8,<0.1,17010,99.7,3581.6,<0.1,15409,99.7,10214,50.2,3550.7,<0.1,12351,99.7,758,0.1,3570.3,<0.1,17001,99.7,0,<0.1,3555.5,<0.1,15401,99.7,24534,476,0,290.6
149,50%,unit,26300,41500,3570.3,<0.1,18087,99.7,3579.3,<0.1,21118,99.7,13834,38.3,3543.6,<0.1,15545,99.7,909,0.1,3565.1,<0.1,18383,99.7,0,<0.1,3555.3,<0.1,17445,99.7,25046,522,0,100.3
151,50%,unit,15783,24663,3582.7,<0.1,17258,99.8,3489.4,<0.1,16066,99.8,9450,48.4,3573.2,<0.1,17180,99.8,671,0.1,3559.7,<0.1,16573,99.8,0,<0.1,3569.8,<0.1,13501,99.8,18424,411,0,608.6
153,50%,unit,29076,45570,3543.5,<0.1,6092,99.7,3566.0,<0.1,5920,99.8,12892,50.2,3559.3,<0.1,4801,99.8,877,0.1,3556.2,<0.1,6014,99.7,0,<0.1,3557.2,<0.1,5191,99.8,26317,534,0,240.7
155,50%,unit,26300,41500,3575.7,<0.1,19449,99.7,3571.2,<0.1,18795,99.7,13784,38.4,3535.6,<0.1,20315,99.7,896,0.1,3544.6,<0.1,18726,99.7,0,<0.1,3546.1,<0.1,23381,99.7,25057,522,0,220.8
157,50%,unit,2980,5360,3558.0,0.4,67872,94.9,3565.7,<0.1,32779,99.5,2242,10.0,3577.9,<0.1,29086,99.5,329,0.1,3471.1,0.4,66921,94.9,0,0.8,3584.3,<0.1,26646,99.5,5269,174,0,33.4
159,50%,unit,18096,28281,3510.8,<0.1,13938,99.9,3484.4,<0.1,18532,99.9,11705,50.2,3569.6,<0.1,15312,99.9,771,<0.1,3558.8,<0.1,13887,99.9,0,<0.1,3568.5,<0.1,14308,99.9,24011,476,0,229.0
161,50%,unit,138141,227241,3591.8,22.2,1,21.6,3591.8,21.7,1,22.8,9000,0.6,3592.2,22.2,1,21.6,1152,<0.1,3594.1,23.3,1,16.7,0,<0.1,3592.0,100.0,1,22.4,9000,768,0,0.5
163,50%,unit,18096,28281,3541.2,<0.1,15319,99.8,3572.6,<0.1,16501,99.8,8981,50.3,3579.4,<0.1,14301,99.8,722,<0.1,3586.4,<0.1,15825,99.8,0,<0.1,3572.2,<0.1,12401,99.8,23620,476,0,304.2
165,50%,unit,18096,28281,3294.1,<0.1,16519,99.9,3358.8,<0.1,19904,99.9,11842,45.3,3391.0,<0.1,14229,99.9,741,0.1,3406.6,<0.1,17057,99.9,0,<0.1,3387.2,<0.1,17182,99.9,23914,476,0,211.0
167,50%,unit,15783,24663,3574.1,<0.1,14769,99.8,3558.0,<0.1,15085,99.8,11021,47.4,3556.0,<0.1,16154,99.8,698,0.1,3567.1,<0.1,14101,99.8,0,0.1,3407.7,<0.1,13602,99.8,24048,386,0,268.5
169,50%,unit,4768,8576,3533.3,0.1,12103,99.6,3549.3,<0.1,18355,100.0,2839,37.2,3572.3,<0.1,14448,100.0,554,<0.1,3566.4,0.1,12311,99.6,0,1.9,1113.2,NA,4926,100.0,6995,186,0,89.4
171,50%,unit,18096,28281,3569.0,<0.1,12601,99.8,3543.2,<0.1,15101,99.8,10861,48.4,3542.1,<0.1,16436,99.8,716,0.1,3541.4,<0.1,11922,99.8,0,0,3560.2,<0.1,15269,99.8,23457,476,0,249.1
173,50%,unit,56860,77264,3587.4,0.1,1988,99.1,3501.2,0.1,3811,99.2,14000,51.8,3539.3,0.1,3481,99.2,1427,0.2,3558.8,0.1,2001,99.1,0,<0.1,3531.8,0.1,3002,99.2,25647,634,0,362.2
175,50%,unit,3523,6446,3574.6,0.5,64601,93.9,3524.7,0.1,18374,99.4,2408,18.5,3559.9,0.1,16930,99.4,474,<0.1,3581.2,0.5,63701,93.9,0,1.1,3524.6,0.1,15734,99.4,6302,178,0,78.2
177,50%,unit,5066,9112,3568.7,0.1,14722,99.1,3505.3,<0.1,15691,99.7,3445,30.4,3554.6,<0.1,16601,99.7,525,0.1,3534.9,0.1,14406,99.1,0,2.2,3440.4,<0.1,15949,99.7,5896,188,0,71.8
179,50%,unit,15783,24663,3566.9,<0.1,15565,99.8,3554.7,<0.1,16155,99.8,8658,48.6,3514.4,<0.1,14286,99.8,652,0.1,3582.7,<0.1,14957,99.8,0,0.1,3557.6,<0.1,15869,99.8,23473,402,0,243.2
181,50%,unit,18096,28281,3587.5,<0.1,13817,99.8,3530.6,<0.1,12701,99.8,10103,47.6,3511.7,<0.1,14895,99.8,741,0.1,3514.4,<0.1,13486,99.8,0,<0.1,3567.8,<0.1,11732,99.8,23685,476,0,404.9
183,50%,unit,72420,118362,3594.0,17.7,1,46.8,3597.3,17.3,1,48.1,11989,53.6,3593.5,9.0,1,47.9,3211,0.5,3593.8,17.7,1,46.8,0,0,3592.6,17.3,1,48.1,11192,698,0,84.4
185,50%,unit,3523,6446,3560.0,0.2,24071,97.3,3542.0,0.1,20800,99.0,2562,17.0,3576.9,0.1,21720,99.0,485,0.1,3578.3,0.2,23987,97.3,0,1.0,3568.3,0.1,14687,99.0,9892,178,0,103.3
187,50%,unit,4227,7734,3561.3,0.4,24451,95.8,3582.6,0.1,13863,98.7,2793,27.0,3536.6,0.1,14142,98.7,597,<0.1,3574.9,0.4,24443,95.8,0,1.5,3524.2,0.1,7243,98.7,21370,183,0,492.7
189,50%,unit,7400,13600,3501.7,0.3,8665,97.8,3549.9,0.1,5625,99.3,4484,50.1,3516.2,0.1,5921,99.3,875,0.1,3561.1,0.2,8965,97.8,0,4.6,3525.6,0.1,5532,99.3,9202,201,0,195.6
191,50%,unit,4579,8378,3585.1,0.4,31101,95.8,3535.1,0.1,13698,98.8,3054,32.0,3571.1,0.1,12723,98.8,587,0.1,3542.4,0.4,30784,95.8,0,1.7,3541.6,0.1,12552,98.8,11732,185,0,187.2
193,50%,unit,7030,12920,3541.0,0.3,9365,97.0,3553.2,0.1,7440,99.4,4321,50.1,3520.8,0.1,6849,99.4,785,0.1,3522.7,0.3,10801,97.0,0,4.3,3562.0,0.1,5293,99.4,12487,199,0,252.2
195,50%,unit,1150,81068,3581.1,19.5,1,24.5,3591.2,20.1,1,21.3,10568,<0.1,3591.6,20.4,1,18.7,6293,0.2,3591.8,23.3,1,9.2,8048,17.8,3591.6,25.0,1,0,1321,217,1150,2.4
197,50%,unit,1534,127011,3591.6,21.3,1,15.3,3587.7,21.8,1,15.2,10026,<0.1,3591.5,22.5,1,10.5,4029,0.1,3591.5,24.3,1,4.1,3068,10.0,3591.7,25.0,1,0,1671,237,1534,4.2
199,50%,unit,1534,126163,3591.6,21.4,1,15.6,3591.5,21.4,1,15.1,10002,<0.1,3591.5,22.0,1,12.3,4977,0.1,3591.6,24.9,1,0,1534,4.2,3591.7,24.9,1,0,1667,237,1534,4.2
1,60%,unit,6160,40207,3.1,NA,1,100.0,3.1,NA,1,100.0,0,0,4.1,NA,1,100.0,0,0,3.0,NA,1,100.0,0,0,4.2,NA,1,100.0,0,0,0,0
3,60%,unit,60541,48418,10.8,NA,1,100.0,10.6,NA,1,100.0,0,0,17.3,NA,1,100.0,0,0,10.6,NA,1,100.0,0,0,17.7,NA,1,100.0,0,0,0,0
5,60%,unit,200,798,3463.6,0.3,2227680,0,1286.6,NA,1044227,0,319,1.9,44.1,NA,17250,0,103,<0.1,3417.4,0.2,2238239,0,610,2.7,10.5,NA,1054,33.4,1998,73,306,0.7
7,60%,unit,8794,10121,0.5,NA,1,100.0,0.5,NA,1,100.0,0,0,0.8,NA,1,100.0,0,0,0.5,NA,1,100.0,0,0,0.8,NA,1,100.0,0,0,0,0
9,60%,unit,38452,174645,77.2,NA,1,100.0,66.1,NA,1,100.0,3000,<0.1,100.5,NA,1,100.0,331,<0.1,65.9,NA,1,100.0,0,0,90.3,NA,1,100.0,3000,331,0,<0.1
11,60%,unit,9877,25973,2.5,NA,1,100.0,2.9,NA,1,100.0,1836,0.3,3.9,NA,1,100.0,218,<0.1,2.7,NA,1,100.0,0,0.2,4.1,NA,1,100.0,1836,218,0,0.5
13,60%,unit,45307,36697,6.3,NA,1,100.0,6.2,NA,1,100.0,0,0,9.2,NA,1,100.0,0,0,6.4,NA,1,100.0,0,0,9.3,NA,1,100.0,0,0,0,0
15,60%,unit,53610,42940,8.5,NA,1,100.0,8.6,NA,1,100.0,0,0,12.3,NA,1,100.0,0,0,8.4,NA,1,100.0,0,0,12.3,NA,1,100.0,0,0,0,0
17,60%,unit,23541,34233,12.8,NA,1,100.0,12.9,NA,1,100.0,803,<0.1,15.9,NA,1,100.0,251,0,14.1,NA,1,100.0,0,0.6,16.5,NA,1,100.0,803,251,0,0.6
19,60%,unit,200,862,284.4,NA,147171,0,54.8,NA,18742,0,347,<0.1,167.6,NA,90855,0,107,0.1,365.4,NA,281717,0,304,0.4,16.9,NA,1308,33.9,2341,110,304,1.1
21,60%,unit,24765,19655,1.9,NA,1,100.0,1.9,NA,1,100.0,0,0,2.8,NA,1,100.0,0,0,1.9,NA,1,100.0,0,0,2.8,NA,1,100.0,0,0,0,0
23,60%,unit,27717,133665,45.2,NA,1,100.0,44.4,NA,1,100.0,3000,0,58.7,NA,1,100.0,303,<0.1,54.9,NA,1,100.0,0,5.3,65.0,NA,1,100.0,3000,303,0,5.4
25,60%,unit,23194,18295,1.7,NA,1,100.0,1.7,NA,1,100.0,0,0,2.5,NA,1,100.0,0,0,1.7,NA,1,100.0,0,0,2.5,NA,1,100.0,0,0,0,0
27,60%,unit,65866,52435,12.0,NA,1,100.0,12.1,NA,1,100.0,0,0,20.4,NA,1,100.0,0,0,12.0,NA,1,100.0,0,0,20.0,NA,1,100.0,0,0,0,0
29,60%,unit,13431,16234,1.1,NA,1,100.0,1.1,NA,1,100.0,0,0,1.8,NA,1,100.0,0,0,1.1,NA,1,100.0,0,0,1.8,NA,1,100.0,0,0,0,0
31,60%,unit,200,813,3443.8,1.7,1661201,0,271.3,NA,29247,55.2,2139,0.7,531.6,NA,123074,44.1,348,0.1,3487.3,1.8,1939401,0,155,3.6,290.5,NA,32742,55.8,1621,190,155,0.7
33,60%,unit,4410,6885,3455.0,0.8,808278,0,78.8,NA,12881,100.0,4660,3.2,5.8,NA,118,100.0,827,<0.1,3502.2,0.8,800328,0,0,2.0,37.7,NA,685,100.0,21180,364,0,10.0
35,60%,unit,200,864,3467.2,1.1,1938209,0,2250.7,NA,795745,0,310,1.5,3421.1,0.6,1632626,0,100,2.9,3495.5,0.9,1898001,0,154,3.1,250.1,NA,36035,27.8,1893,84,154,0.9
37,60%,unit,198,808,3507.3,0.8,1818610,0,522.9,NA,226309,0,300,0.3,1447.3,NA,885416,0,95,0.8,3524.1,0.8,1792709,0,156,2.9,59.6,NA,8037,34.0,1954,73,310,0.8
