,,,,,CL,,,,,,,CL',,,,,,,CL
|V|,p,|E|,k,seed,T,#N,GI,#C,λ=1,λ̄,c̄,T,#N,GI,#C,λ=1,λ̄,c̄,c>k+1
100,0.8,3965,8,5,2.4,1,100.0,1300,0,8.40,11.79,4.7,4,88.7,1004,0,6.71,8.86,100.0
100,0.8,4015,10,1,33.1,620,79.0,4874,0,9.48,12.63,37.2,3133,63.6,462,0,8.58,10.77,98.1
100,0.8,4007,10,2,59.3,1523,70.4,6415,0,9.52,12.29,21.9,6204,38.2,0,,,,89.5
100,0.8,3922,10,3,221.0,7074,65.3,6971,0,9.51,12.06,81.6,3956,59.0,4147,0,7.71,9.93,88.4
100,0.8,3932,10,4,117.2,6798,61.8,6162,0,9.39,12.05,115.1,6142,59.7,5100,0,7.63,9.86,88.2
100,0.8,3965,10,5,11.8,50,86.8,4045,0,8.91,12.18,17.5,263,82.1,3923,0,7.44,10.21,94.3
100,0.8,4015,12,1,101.2,1959,74.6,6660,0,10.40,13.70,144.4,3080,73.9,6993,0,8.08,10.98,87.9
100,0.8,4007,12,2,326.5,5779,66.7,6785,0,10.30,13.37,379.7,11729,60.5,4854,0,8.24,10.78,80.2
100,0.8,3922,12,3,693.3,15569,58.1,7913,0,9.14,11.82,1421.1,40116,60.5,7219,0,7.52,9.90,50.0
100,0.8,3932,12,4,858.4,26977,55.5,4563,0,9.61,12.46,1336.6,41597,52.2,5611,0,7.63,10.11,65.1
100,0.8,3965,12,5,85.1,1359,77.5,6210,0,9.55,12.74,(0.1),106328,79.1,7733,0,7.52,10.35,68.7
